KEYWORD;ORACLE_RESERVED
(;Y
);Y
*;Y
+;Y
,;Y
-;Y
.;Y
/;Y
:=;n/a
";";N
=;Y
=>;N
||;n/a
ADMIN;N
ALL;Y
ALTER;Y
AND;Y
ANY;Y
APPROXNUM;n/a
AS;Y
ASC;Y
AUTHENTICATION;N
AUTHORIZATION;N
BAG;n/a
BEGIN;N
BETWEEN;Y
BITMAP;N
BODY;N
BY;Y
CALL;N
CASCADE;N
CASE;N
CHECK;Y
CLOSE;N
CLUSTER;Y
COMMIT;N
COMPARISON;n/a
CONNECT;Y
CONSTRAINT;N
CONSTRAINTS;N
CONTENTS;N
CONTEXT;N
CONTINUE;N
CREATE;Y
CROSS;N
CURRENT;N
CURSOR;N
DATABASE;N
DATAFILES;N
DBLINK;n/a
DEFAULT;Y
DEFERRED;N
DELEGATE;N
DELETE;Y
DESC;Y
DIRECTORY;N
DISTINCT;Y
div;n/a
DROP;Y
ELSE;Y
END;N
ENTERPRISE;N
ESCAPE;N
EXCEPT;N
EXECUTE;N
EXISTS;Y
EXTERNALLY;N
FETCH;N
FILTER_WITH;n/a
FORCE;N
FOREIGN;N
FOUND;n/a
FROM;Y
FULL;N
FUNCTION;N
FUNS;n/a
GLOBALLY;N
GOTO;n/a
GRANT;Y
GROUP;Y
HASHMAP;n/a
HAVING;Y
HIERARCHY;N
HINT;n/a
IDENTIFIED;Y
IF;N
IMMEDIATE;N
IN;Y
INCLUDING;N
INDEX;Y
INDICATOR;N
INNER;N
INSERT;Y
INTERSECT;Y
INTNUM;n/a
INTO;Y
INVALIDATION;n/a
IS;Y
JOIN;N
JSON;N
KEEP;N
KEY;N
KEYLIST;n/a
LEFT;N
LIKE;Y
LINK;N
LOCAL;N
LOG;N
MATERIALIZED;N
MINUS;Y
NAME;N
NATURAL;N
NO;N
NOCYCLE;N
NONE;N
NORM_WITH;n/a
NOT;Y
NULLX;n/a
OF;Y
ON;Y
ONLINE;N
OPEN;N
OPTION;Y
OR;Y
ORDER;Y
ORDERED_SET;n/a
OUTER;N
PACKAGE;N
PARAMETER;n/a
PARTITION;N
PRESERVE;N
PRIMARY;N
PRIOR;Y
PRIVILEGES;N
PROCEDURE;N
PROFILE;N
PUBLIC;Y
PURGE;N
QUOTA;N
REFERENCES;N
REQUIRED;N
RETURN;N
RETURNING;N
REUSE;N
REVOKE;Y
RIGHT;N
ROLE;N
ROLES;N
ROLLBACK;N
SCHEMA;N
SELECT;Y
SEQUENCE;N
SET;Y
SOME;N
SQLERROR;n/a
START;Y
STORAGE;N
STRING;N
SYNONYM;Y
TABLE;Y
TABLES;N
TABLESPACE;N
TEMPORARY;N
THEN;Y
THROUGH;N
TO;Y
TRIGGER;Y
TRUNCATE;N
TYPE;N
UNION;Y
UNIQUE;Y
UNLIMITED;N
UPDATE;Y
USER;N
USERS;N
USING;N
VALIDATE;N
VALUES;Y
VIEW;Y
WHEN;N
WHENEVER;N
WHERE;Y
WITH;Y
WORK;N
